iter	Passed	Remaining
253	49767	146168
254	49945	145920
255	50155	145765
256	50348	145560
257	50879	146326
258	51311	146803
259	51515	146621
260	51723	146451
261	51927	146269
262	52096	145988
263	52273	145731
264	52447	145467
265	52620	145199
266	52786	144914
267	52970	144679
268	53152	144441
269	53319	144161
270	53484	143875
271	53654	143604
272	53814	143309
273	53983	143037
274	54142	142740
275	54290	142414
276	54469	142170
277	54627	141875
278	54802	141621
279	54995	141417
280	55160	141140
281	55314	140836
282	55483	140570
283	55636	140267
284	55804	140000
285	55972	139735
286	56131	139447
287	56289	139159
288	56467	138921
289	56620	138622
290	56771	138318
291	56950	138084
292	57108	137801
293	57269	137523
294	57428	137245
295	57596	136986
296	57743	136678
297	57898	136391
298	58078	136162
299	58271	135967
300	58457	135754
301	58643	135540
302	58826	135321
303	59038	135167
304	59276	135073
305	59467	134870
306	59692	134745
307	59893	134564
308	60112	134426
309	60274	134159
310	60419	133854
311	60610	133653
312	60838	133532
313	61122	133535
314	61542	133830
315	61915	134018
316	62638	134959
317	62864	134822
318	63046	134592
319	63226	134355
320	63393	134093
321	63560	133832
322	63723	133562
323	63884	133289
324	64048	133024
325	64215	132765
326	64366	132472
327	64523	132194
328	64713	131983
329	64945	131858
330	65166	131711
331	65347	131482
332	65508	131213
333	65715	131037
334	65875	130767
335	66050	130527
336	66236	130310
337	66392	130035
338	66577	129817
339	66746	129566
340	66913	129314
341	67088	129076
342	67260	128834
343	67422	128573
344	67577	128299
345	67741	128043
346	67885	127749
347	68059	127513
348	68250	127309
349	68400	127029
350	68557	126763
351	68721	126509
352	68900	126284
353	69136	126163
354	69405	126103
355	69627	125955
356	69839	125789
357	70035	125593
358	70225	125388
359	70418	125187
360	70620	125004
361	70855	124877
362	71066	124709
363	71271	124528
364	71441	124288
365	71604	124035
366	71776	123799
367	71954	123574
368	72101	123295
369	72261	123039
370	72415	122774
371	72589	122542
372	72772	122327
373	72995	122179
374	73239	122065
375	73419	121844
376	73610	121642
377	73781	121408
378	73955	121177
379	74152	120985
380	74413	120898
381	74588	120668
382	74750	120420
383	74952	120236
384	75143	120033
385	75349	119856
386	75530	119638
387	75775	119522
388	76003	119378
389	76702	119970
390	77207	120253
391	77563	120302
392	78009	120487
393	78271	120387
394	78543	120301
395	78766	120139
396	78977	119958
397	79210	119811
398	79423	119633
399	79691	119536
400	79925	119390
401	80118	119181
402	80319	118984
403	80520	118787
404	80706	118569
405	80906	118371
