iter	Logloss
0	0.6529490349
1	0.6202870182
2	0.5900168522
3	0.564569928
4	0.544569286
5	0.5259788199
6	0.5084712696
7	0.4939082416
8	0.480145728
9	0.468400702
10	0.4576236993
11	0.4475840287
12	0.4394566627
13	0.4314111168
14	0.4246437142
15	0.4174678144
16	0.4118299719
17	0.4068372811
18	0.4011587548
19	0.395584599
20	0.3917005468
21	0.3877060752
22	0.383460885
23	0.3799311883
24	0.3769158168
25	0.3731715765
26	0.3700785576
27	0.3668117421
28	0.3643777592
29	0.3621194724
30	0.3589384452
31	0.3563883399
32	0.3541042878
33	0.3516194068
34	0.3496169709
35	0.3476070429
36	0.3458653131
37	0.3445171945
38	0.3432375278
39	0.3413848701
40	0.3396854017
41	0.3384307354
42	0.3371910768
43	0.3357751455
44	0.3348298168
45	0.3333689692
46	0.3321332373
47	0.3306690565
48	0.3296965373
49	0.3287642866
50	0.3277942627
51	0.3264574578
52	0.3252458236
53	0.3241773835
54	0.3235243441
55	0.3225837463
56	0.321800732
57	0.3210725593
58	0.3205342766
59	0.3196542079
60	0.3190180847
61	0.3186181944
62	0.3179195295
63	0.3172888052
64	0.3166233916
65	0.3161614886
66	0.3154117029
67	0.3147315753
68	0.3140605237
69	0.3134311796
70	0.3129989355
71	0.3124598274
72	0.3119392319
73	0.3114669547
74	0.3110159887
75	0.310572724
76	0.3102201916
77	0.3098548271
78	0.3094805054
79	0.3090282486
80	0.3087578672
81	0.3082852817
82	0.307802664
83	0.307528595
84	0.3072900677
85	0.3069451187
86	0.3065874932
87	0.3063893092
88	0.3060263583
89	0.3057069132
90	0.3054092815
91	0.3051563924
92	0.3049568465
93	0.3047005555
94	0.3045117541
95	0.3042545718
96	0.3040529273
97	0.3038173163
98	0.3036519456
99	0.3034767175
100	0.3032389366
101	0.3029206828
102	0.3026639875
103	0.3024462154
104	0.3023328181
105	0.3021853206
106	0.302031808
107	0.3018053562
108	0.3016672535
109	0.3014594852
110	0.3013099959
111	0.3011425333
112	0.3009532567
113	0.3007993706
114	0.3006748925
115	0.3005374672
116	0.3003771964
117	0.3002690735
118	0.3001041506
119	0.2999727451
120	0.2998433342
121	0.2997140008
122	0.299590257
123	0.2994698763
124	0.2993892284
125	0.2992618663
126	0.2991681699
127	0.2990483676
128	0.2989432238
129	0.2988111102
130	0.298693415
131	0.2986135429
132	0.2985415304
133	0.2984627322
134	0.2983781486
135	0.2982368116
136	0.2981811395
137	0.2980376429
138	0.297951138
139	0.2978393631
140	0.2977604677
141	0.297752455
142	0.2976319716
143	0.2975578968
144	0.2974763252
145	0.2973999779
146	0.297277772
147	0.2972375045
148	0.2971602361
149	0.2971035448
150	0.2970741746
151	0.2969939824
152	0.2969298079
153	0.2968787742
154	0.2968099456
155	0.2967503705
156	0.2966665622
157	0.2965847057
158	0.2965152284
159	0.2964448107
160	0.2963850222
161	0.296297233
162	0.2962368368
163	0.2961962652
164	0.2961177497
165	0.2960662769
166	0.2959952096
167	0.2959229365
168	0.295859702
169	0.2957978554
170	0.2956816945
171	0.2956275232
172	0.2955516266
173	0.2955158186
174	0.2954346554
175	0.2953552629
176	0.295298414
177	0.2952295939
178	0.2951740017
179	0.2951339838
180	0.2950737361
181	0.2950130893
182	0.2949845629
183	0.2949142171
184	0.2948675968
185	0.2948323966
186	0.2947917985
187	0.2947369881
188	0.2946793178
189	0.2946269598
190	0.2945840152
191	0.2945224469
192	0.2944492833
193	0.2943870583
194	0.2943387739
195	0.2942667719
196	0.2942427155
197	0.2941617343
198	0.2941166871
199	0.2940773519
200	0.2940597756
201	0.2940085741
202	0.2939667759
203	0.2939363881
204	0.2939098504
205	0.2938373025
206	0.2937853326
207	0.2937846355
208	0.293738281
209	0.2936898235
210	0.2936364139
211	0.2936142052
212	0.293566836
213	0.2934915515
214	0.2934572715
215	0.2933907508
216	0.2933552566
217	0.2932697669
218	0.2932090834
219	0.2931825708
220	0.2931474649
221	0.29311587
222	0.2930658101
223	0.2930151228
224	0.2929752848
225	0.2929308954
226	0.2928695527
227	0.2928257166
228	0.2927651666
229	0.2927387227
230	0.2926831996
231	0.2926254185
232	0.2925777121
233	0.2925177666
234	0.2924643382
235	0.2924375005
236	0.2923879307
237	0.2923221448
238	0.2922876569
239	0.292253602
240	0.2921763969
241	0.292120754
242	0.2920627406
243	0.2920074693
244	0.2919556866
245	0.2919015718
246	0.2918444556
247	0.2917844051
248	0.2917307798
249	0.2916541366
250	0.2916214526
251	0.2915489738
252	0.2915074174
253	0.2914484728
254	0.291393892
255	0.2913415026
256	0.2912932771
257	0.2912265093
258	0.2911792372
259	0.291140385
260	0.2910805648
261	0.2910283592
262	0.2910021599
263	0.2909556264
264	0.2909211526
265	0.2908569279
266	0.290832363
267	0.2908005698
268	0.290751774
269	0.2906863611
270	0.2906299728
271	0.2905791749
272	0.2905404325
273	0.290500361
274	0.2904621651
275	0.2904324679
276	0.2903746447
277	0.2903348456
278	0.2902797041
279	0.2902367732
280	0.2901882626
281	0.2901352028
282	0.2900835929
283	0.2900436245
284	0.2899908986
285	0.2899591923
286	0.2899066292
287	0.2898704371
288	0.2898090862
289	0.2897901437
290	0.2897381856
291	0.2896946705
292	0.2896592733
293	0.2896222691
294	0.2895597073
295	0.2895068395
296	0.2894837142
297	0.2894353497
298	0.2893932761
299	0.2893489924
300	0.2893210437
301	0.2892920233
302	0.2892301829
303	0.2892058137
304	0.2891535385
305	0.2891089768
306	0.2890647874
307	0.2889927672
308	0.2889437931
309	0.2888928821
310	0.2888691154
311	0.288829062
312	0.2887883251
313	0.2887234421
314	0.2886922832
315	0.2886346964
316	0.288591142
317	0.2885447563
318	0.2885080011
319	0.2884648005
320	0.2884345543
321	0.2883767204
322	0.2883088366
323	0.2882562049
324	0.2882124672
325	0.2881546421
326	0.2881099308
327	0.2880675929
328	0.2880202653
329	0.2879544659
330	0.2879068377
331	0.2878832041
332	0.2878368741
333	0.2877886036
334	0.2877432213
335	0.287683246
336	0.2876462467
337	0.287611866
338	0.2875725218
339	0.2875150247
340	0.287473079
341	0.287435671
342	0.2873875369
343	0.2873411899
344	0.2873100669
345	0.2872466227
346	0.2872040543
347	0.2871501486
348	0.2871198646
349	0.2870740711
350	0.2870241898
351	0.2869610739
352	0.2869197354
353	0.286866786
354	0.286832664
355	0.2867881314
356	0.2867427252
357	0.2867012451
358	0.286670102
359	0.2866110904
360	0.2865688989
361	0.2865165531
362	0.286488517
363	0.2864633291
364	0.2864341671
365	0.2864037531
366	0.2863429072
367	0.2862935279
368	0.2862605281
369	0.2862194522
370	0.2861673468
371	0.2861207753
372	0.2860764938
373	0.2860326995
374	0.2859899051
375	0.285965723
376	0.2859144551
377	0.2858588986
378	0.2857998319
379	0.28577653
380	0.2857429355
381	0.2857033721
382	0.2856588933
383	0.2855985067
384	0.2855411483
385	0.2854894746
386	0.2854687686
387	0.2854182288
388	0.2853641405
389	0.2853293655
390	0.2852913136
391	0.2852521772
392	0.2852099606
393	0.2851588467
394	0.2851129101
395	0.2850668031
396	0.2850294247
397	0.2849972743
398	0.2849765356
399	0.2849307562
400	0.284902396
401	0.2848655829
402	0.2848201821
403	0.2847818457
404	0.2847386911
405	0.2846777559
